2025-07-26 16:11:36 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': '', 'filename': 'shared\\Changeline\\Changeline - teardrops.on.a.book.page\\06 - SHINE.GIRLYPOP.flac', 'length': 126, 'sampleRate': 44100, 'size': 16297019, 'isLocked': False}
2025-07-26 16:11:37 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: 'filename'
2025-07-26 16:11:37 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': '', 'filename': 'shared\\Changeline\\Changeline - teardrops.on.a.book.page\\07 - everything.everywhere.and.fuck.u (feat. Nurture Nurture).flac', 'length': 153, 'sampleRate': 44100, 'size': 18294574, 'isLocked': False}
2025-07-26 16:11:37 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: 'filename'
2025-07-26 16:11:37 | download_manager | INFO | Analyse des résultats de thisdogissomessedup
2025-07-26 16:11:37 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': 'flac', 'filename': 'music\\Changeline\\teardrops.on.a.book.page (2024)\\01. wasirapedthatnight.flac', 'length': 148, 'sampleRate': 44100, 'size': 14621818, 'isLocked': False}
2025-07-26 16:11:37 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:11:37 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': 'flac', 'filename': 'music\\Changeline\\teardrops.on.a.book.page (2024)\\02. brain.fog.flac', 'length': 156, 'sampleRate': 44100, 'size': 16855258, 'isLocked': False}
2025-07-26 16:11:37 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:11:37 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': 'flac', 'filename': "music\\Changeline\\teardrops.on.a.book.page (2024)\\03. don't.get.hit.flac", 'length': 165, 'sampleRate': 44100, 'size': 21295450, 'isLocked': False}
2025-07-26 16:11:37 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:11:37 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': 'flac', 'filename': 'music\\Changeline\\teardrops.on.a.book.page (2024)\\04. bad.person.music.flac', 'length': 128, 'sampleRate': 44100, 'size': 15107255, 'isLocked': False}
2025-07-26 16:11:37 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:11:37 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': 'flac', 'filename': 'music\\Changeline\\teardrops.on.a.book.page (2024)\\05. i.deserve.it.flac', 'length': 155, 'sampleRate': 44100, 'size': 16188042, 'isLocked': False}
2025-07-26 16:11:37 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:11:37 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': 'flac', 'filename': 'music\\Changeline\\teardrops.on.a.book.page (2024)\\06. SHINE.GIRLYPOP.flac', 'length': 126, 'sampleRate': 44100, 'size': 16352120, 'isLocked': False}
2025-07-26 16:11:37 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
